,Review,Rating
37,"Pedesnya pas.. cuma gak berasa Singkong nya""

saran aja, kalau pembelian 5 bungkus"" ada bonus.. biar makin lariss😍",5
38,"Mantul, selalu beli yang ini meski panas perut ge.",5
39,"enak, pedes bgt, asin dan gurihnya pas. pengirimannya juga aman",5
40,Baso acinya serius enak banget. Teksturnya baso kaca khad garut banget. Isian ayamnya juga enak,5
41,Terima kasih barangnya sudah sampai,3
42,enak bgt beneran😭😭😭😭nagih kuah nya pedes pokoknya manteppppp,5
43,cepat sampainya,5
44,"mantapp kualitass , rasa lumayan pengiriman cepatt terimakasii toko nyaaaa",4
45,"barangnya sudah sampai , barangnya sampai dalam keadaan baik",4
46,pilus cikur alot dan liat pengiriman lama,3
47,paketnya sudah sampe. makasi udah dikasi 1pcs bonus baso aci nya,5
48,"Baso acinya enak, cuma isi ayamnya gak kerasa, kecil banget sih. Tapi untuk porsinya banyak banget",4
49,"pengiriman sangat cepat, baru pesan kemarin 22/04, hari ini sudah sampai, produk sampai dengan selamat, ga ada kurang dan ga ada rusak",5
50,Pengiriman Sangat Cepat.. Barang Premium :D,5
51,alhamdulillah barang sudah sampai😊. mantaps kali rasanya pedas😋👍,5
52,ok,5
53,😱,4
54,"klo belum habis ga bs berhenti makan ginian.. cuma ada yg terbuka kemasannya, untung masi renyah..",5
55,mantapp,5
56,"mantap bgt pedesnya, gak pelit bumbunya puas bgt belanja disini",5
57,kangen rasa ***** terbayarkan 👌👌,5
58,kenceng,5
59,saya beli dari pagi pagi sekali dikirim nya malam hari luar biasa patut dapat bintang 1,1
60,kacang telurnya garing dan enak. respon seller cepat. kl bisa packing dibungkus bubble wrap biar makin aman.,5
61,👍,5
62,"kacang telur medan datang sesuai order, rasa kacang enak, fresh, crispy, seller responsif, packing aman pake bubble wrap, pengiriman cepat, recommended seller",5
63,enaaaakk.....renyah 👍👍👍,5
64,Terimakasih barang sudah sampai dan sesuai dengan ekspektasi 😀,5
65,Ok. terima kasih ya.,5
66,Barang sampai dg baik,5
67,,5
68,"kacangnya enak ,mantap",5
69,"produk, packing, pengiriman, sip semua 👍 ueennaakkk kacangnya",5
70,👍👍👍👍,5
71,gercep bgt sellernya... thank you yah...,5
72,"mantap renyah, next order lagi. ⭐️⭐️⭐️⭐️⭐️",5
73,"pesanan cepat diproses, packing rapi & produk bagus sesuai deskripsi",5
74,mantap packingan rapi ...barang sesua deskripsi dan enak cepat sampai lagi..seler responsif pokoknya rekomended seller,5
75,"rencana buat lebaran, ternyata nggak nyampe lebaran udh habis ter makan.",5
76,,5
77,"Belum sy cb, smg enak tdk tengik. Sukses sellu",5
78,packaging perlu diperbaiki.,4
79,mantap👍,5
80,biasa aja rasanya. tapi penjualnya baik. ramah. semoga berkah ya,4
81,terimakasih seller.. udah gag sabar buat nyobain,5
82,"proses cepat...order jam 16.30 langsung dikirim dan sampai dalam waktu 1 jam.
tq seller",5
83,mantap,5
84,aman semua,5
85,ok,5
86,sukaaaa....,5
87,"untuk rasanya enak dan harga terjangkau tapi pengirimannya kurang bagus, soalnya nyasar",4
88,"Pake Sameday jadi cepat, sellernya ramah, produknya oke, sesuai, lengkap, GOOD SELLER..",5
89,😍😍😍😍😍😍😍😍😍😍,4
90,Baso Aci nya enak. Tapi sayang admin nya kurang responsif. huhuu maaf ya,4
91,cuankie nya alot (ga garing) yah lumayan rasanya,4
92,ok,3
93,Mantap,5
94,segel rusak karena packing tipis sekali,1
95,Enak lah pokoknya,5
96,"akhir ya yg ditunggu"" sampe juga, thank you",5
97,,4
98,barang diterima dgn baik dan cepat. terimakasih,5
99,mantap. barang sesuai pesanan,5
100,rasanya belum tau karena sampainya pagi dan masih puasa. tapi proteksinya perlu diacungi jempol. semoga original bukan KW,5
101,👍🙏,5
102,mantab gan,5
103,"barang asli...jdi beli dsini ajah, gx usah jauhw kemalang
thanks seller",5
104,"seller ramah dan baik..packaging rapi, aman dipakai bubble wrap..recommended seller 👍",5
105,"Sesuai dengan pesanan, terimakasih.",5
106,kripiknya dibungkus bubble satu persatu d dimskkan dus donk..thanks seller,5
107,Packing aman pake wrap.. seller fast response.. mantap betul..,5
108,"sekarang keripiknya tebal2 dan lebih keras, jadi butuh tenaga ekstra untuk gigitnya. beda sama yg dulu

btw packingannya super rapi. masing2 item dibungkus dengan bubble. recommended seller 👍",3
109,"Produk bagus , fast respon . terima kasih",5
110,enak,5
111,"belum dicoba sih, tapi semoga enak. nyesel cuma beli 100gr dikit bangett 😂",3
112,"Enak kacangnya empuk, lumayan oke juga dengan harga yang masih terjangkau.",5
113,Agak melempem ya,4
114,"cepat sampai, rasa enak, memuaskan.",5
115,"enak, packaging juga rapih. terima kasih",5
116,"rasa enak, ga tengik",5
117,ada yg gosongnyaa,4
118,enak mede nyaaa,5
119,repeay order sekian kalinya. kardusnya basah kena hujan. untung kacangnya dibungkus dgn bubble wrap.,5
120,Sesuai pesanan....,5
121,mudah2an enk..harus dipercepat pengirimanya,4
122,sip. sesuai,5
123,Kesukaan anak2.,5
124,,5
125,Yang tiba varian Original..,4
126,maaf ya barangnya tidak diterima.,3
127,good,5
128,Mantapppp 👌👌👌👌 sesuai deskripsi 👍👍👍👍,5
129,Ternyata rasa jagung bakar sama nori kurang klop.. rasanya unik,3
130,"rasa enak, pengiriman cepat. sayang pas mau digoreng patah2 ikannya pdhl sdh dari frezer",4
131,"Packing dengan bubble & dus, sangat rapi sehingga kondisi bandeng aman. Semoga tidak terlalu asin. cukup pake free ongkir bisa lo.....seller responsif",5
132,rekomended pokoknya,5
133,"Mantap, rekomended",5
134,Mantap Pelayanan Dan Produknya. recommended banget!,5
135,"Delivery On Time, Bandeng nikmat sesuai deskripsi..
👍🏿👍🏼👍",5
136,👌,5
137,"pelayanannya ramah. packingnya sip. deliverynya prima. produknya top untuk harga yg terjangkau. recommended banget. yang mau coba, jangan ragu. betul lho.",5
138,packing bagus.cepat sampai.ini u.kasih org...sukses yaa,5
139,repeat orderke sekian kali.enakk.cocokk,5
140,"Ownernya ramah dan baik, responya cepat, packagingnya super duper rapih, barangnya good quality bakal repeat order lagi sukses selalu mbak cantik😇🙏🏻😘😘",5
141,"Lumayan enak, tp terlalu mahal tidak sebanding dg harga.",3
142,"Ownernya ramah, packaging OK bakal repeat order thankyou👍",5
143,"Ownernya ramah, responya cepat, packaging dan pengiriman OK👍 Thankyou Amut utk servicenya bakal repeat order🙏🏻😘",5
144,"seller ramah, responsif sangat membantu jadi komunikasi nya enak, packing rapi dan pengiriman cepat. Repeat order sih ini 👍👍",5
145,Paket sampai siang hr. Yg dikirim katanya suka. terima kasih ya,5
146,Fast respond.. penjual ramah. Delivery on time thanks,5
147,"puas banget, makasih :)",5
148,"Enak sekali, pemjual sangat responsif dan ramah sangat membantu. pengiriman cepat. akan pesan lagi sih pasti",5
149,nasi jeruknya enak...ayamnya juga...pengiriman cepat,5
150,Repeat order yang kesekian kalinya. Pelayanan dan respon toko selalu baik. Kualitas makanan dan rasanya selalu baik. Recommended 👍👍,5
151,Best. Paling enak dibanding produk sejenis. Ngga eneg,5
152,di deskripsi full baked aman utk bumil dan udh ksh notes juga utk dipastiin mateng krna lg hamil. ternyata salmonnya msh mentah :( bismillah semoga gapapa. lain kali tolong dipastiin aja kalo udh mateng,2
153,salmonnya dan saus mentainya melimpah ruah. kesukaan kalo lg ke jakarta pasti pesan ini. tapi ntah kenapa kali ini rasanya aga asin.,5
154,"sebelumnya pernah beliin dia salmon mentai pas beda tempat kerja waktu itu momomaru kalo ga salah hanya ada salmon sama chicken katsu mentai, tahun lalu dia minta momomaru tapi baru bisa beliin momomaru sekarang saat dia udah 1 tempat kerja bareng gue baru bisa beliin walaupun ongkirnya lebihin harga 1porsi salmon mentai, gue mau bayar utang gue walaupun sekarang dia lagi deket sama orang lain.",5
155,mantap,5
156,lidah saya lidah ndeso.,4
157,sdh terima. blm dimkn,5
158,enakkkk 👍,5
159,Enak. Pesan tadi siang jam 1. Sampai Jakarta Barat jam setengah 6 sore. Masih hangat tapi saya hangatkan lagi di microwave. Makin enak. Tidak asin. Suka!,5
160,enak kimcinya pas rasanya tdk terlalu pedas,5
161,enak..asam nya pas...,5
162,"enak pas rasa nya. samwon resto memang terkenal tempat makan para expat korean di JKT.
Seller responsif. Sangat membantu ttg produk.",5
163,"gmna ya ini kali kedua beli kamren beli yang 1kg baik2 aja, ini beli yang stgh kg malah plastik vakum nya bocor sedih sih jadi air kimchinya ga ada padahal mau di bikin kimchi jiggae",4
164,enak bangattt...,5
165,mantabs,5
166,fresh kimchinya,5
167,pesanan sesuai. enak. pengiriman cepat,5
168,rasanya kayak ada pait paitnya,5
169,"unt rasa krg pedes dikit dan asemnya dikrgi dkt, itu menurut sy",5
170,barangnya puas,5
171,menyengkan belanja dsini.profesional bgt.,5
172,sipppp,5
173,,5
174,Mantap,5
175,oke,5
176,"reorder terus
👍",5
177,bagus,5
178,Top termurah,5
179,Thanks,5
180,"Selalu langganan, jadi kalo kangen lumpia asli semarang langsung order disini karena posisinya pun di jakarta. Kualitas sangat terjaga, respon cepat dan tepat. Terima kasih banyak ya.",5
181,sudah repeat order yg kesekian dan alhamdulillah selalu puas.. seller jg ramah dan komunikatif.. tks ya sukses trs ..,5
182,Pembelian kesekian.. 👍👍👍👍,5
183,rasanya enak banget,5
184,👍,5
185,"Sudah beberapa kali pesan ,rasa selalu enak dan sesuai harga",5
186,"orderan ke 3kalinya dalam waktu yg dekat, tapi kemasanya makin kecil..pdhl dg jml pembelian yg sama, kebetulan beseknya bisa diliat dg ukuraya yg mkin kcl. semoga lumpia semarang tetep mempertahankan
pelayanan dan kwlitas..jgn lama2 makin kcl.mksh",4
187,"Pernah order di gojek dan di tokped, belum pernah kecewa sama produknya.",5
188,"Repeat Order, Lumpia nya enak, cocok dan Delivery cepat. Admin nya ramah",5
189,Mengobati rasa kangen lumpia semarang... josh gandhosss...,5
190,Tunggu buka puasa baru dicoba ya..😁 kiriman super cepet. mantul bgt.,5
191,Agak masam y ngk kyk biasa ny,3
192,"minil2, jd praktis dimakannya..",5
193,"barang oke, packing rapih, penjual responsif",5
194,"Kesekian kali order disini, tetap mantap..",5
195,"enak, tapi Utk rasa perlu ditingkatkan",4
196,"not bad, ada pahit pahitnya",4
197,enakk euyy,5
198,mantap seperti biasanya lah,5
199,Enak. Semua suka.,5
200,ENAKKKKK :( nanti kalau udah habis order lagi ah,5
201,Rasanya pas..,5
202,,5
203,Dah sering beli wkwkwk...untuk bikin kimchee jigae dan digado yummmm,5
204,kimchi nya enak,5
205,sudah langganan,5
206,"rasa sesuai, pengiriman cepat",5
207,sy sangt puas dg psanan kimchi nya _ sangt enak _ mantap_ kemasannya bagus rapi dn dtg tepat wkt_ kurir nya sopan,5
208,packing rapih.. produk ok,5
209,barang sdh diterima. terima. kasih,5
210,Terima kasih. Ayam Afrika-nya da best! Seller juga responsif.,5
211,pengiriman tepat waktu,5
212,"Ayam Afrika-nya enak juicy seperti yang diiklankan terus yg suka potongannya besar2 dan semua dapat potongan paha, baik paha atas atau paha utuh yg besar itu. Anak sy yg masih balita pun suka. Jadi nagih. Terima kasih dan sukses selalu yaa! 🥰🙏",5
213,👍🙏,5
214,,5
215,Ntah udah pesen ini berapa kali… ketagihaaannn! Enak bgttttt sihhh…,5
216,Daging lebut dan bumbunya terasa.. Yummy...,5
217,"ayamnya enaaak, empuk dan bumbunya meresap banget. Potongannya besar besar dan saosnya generous banget, ditambah pisang manis untuk dessert (awalnya kukira pisangnya untuk karbohidrat pengganti nasi, ternyata bukan hehehe). Packagingnya juga cantik, aku beli family pack, dapat tempat dari melanin jadi bisa dipakai lagi. seneng deh jadi ga buang sampah plastik. terima kasih ya paris di jakarta!",5
218,"Cepet jg pengirimannya, malam pesan, besok sorenya udh smp, jd bs buat buka puasa.. ayamnya besar sekali, sambelnya mantap!",4
219,"ayamnya empuk, wangi dan sausnya enak bamget. terutama yg saus ijo",5
220,"packaging bagus, rasa enak, tp warna kartu ucapan terlalu gelap jadi tidak kelihatan kalau ditulis. Bahan kertas kartu ucapan jg sulit ditulis. Tp overall bagus kok.",4
221,"brownies nya enakkk bgt! lembut chewy, berasa dark chocolate jg jd ga cm manis doang. paling suka yg kismis❤ packing aman sentosa dan lucu bgt design nya! ada beruang dan pantatnya wkwkwk

terima kasih Bearly Baker😀🥰
so sorry bawel di chat wkwkwk",5
222,,5
223,"karena ini buat temen aku jadi ga punya fotonya, alhamdulillah temen aku suka",5
224,super yummy,5
225,Cepet banget dikirimnya! Kemarin maghrib baru pesen terus pagi ini udah sampai. Padahal pesennya lumayan banyak hehehe terima kasih Bearlybaker!,5
226,,5
227,Dari dulu sukaa... best in town,5
228,"respon seller cepat, pengiriman juga cepat. thanks",5
229,"Browniesnya enak & respon seller cepat :)
Cuma kayaknya dikartunya lupa ditulis To: & From: nya padahal sudah ditulis jg dicatatan hehe",5
230,Pesan yg varian 20pcs tp cuma dikirim 10pcs,1
231,"Order bareng produk lainnya jadi 3 box di kemas dalam paper bag. Alhamdulillah aman saat diterima. Rasanya juara banget, sea saltnya bikin sensasi yang akhir yang asik bgt.",5
232,Paling favorit!,5
233,"enak tp menurut saya terlalu manis, masih lebih enak the diva",5
234,"enaaak, keponakan saya suka bgt saya sampe ga kebagian hehehe",5
235,sampai! cepet uga!,5
236,mantep dan bagus pelayanan . cookies nya jg enaaakkk,5
237,Ga ada obat!,5
238,Enaaakkk,5
239,"maap gak sempet foto, udh dimakanin pas buka puasa",5
240,"maaf baru kasih ulasan, karena baru dicoba buat makan sahur. ayamnya enak, bumbunya meresap. anak ku suka. pengiriman cepat,. packing rapi. thanks ya...",5
241,suka makanannya dr toko ini. enak.rasa rumahan.moga2 nambah terus menu2nya,5
242,Selalu mantap 👍,5
243,"ini order kedua kalinya. Top markotop. Enak, bumbunya meresap ke dagingnya , ayamnya juga pas lunaknya .. Recommended",5
244,Enak.. Terima kasih,5
245,Sudah sering belanja di sini & selalu puas.Masakannya enak semua.Packing juga sangat rapih.Pengiriman cepat.Sukses terus ya.Terima kasih utk bonusnya.🙏🙏,5
246,"suka masakan d toko ini.masakannya enak,cocok ama selera kita.",5
247,"selalu puas
mohon dipertahankan ya",5
248,ayam gorengnya enak tapi bumbu serundeng laosnya krg byk,5
249,2nd purchase,5
250,"enak, kering kentang nya fresh, sip deh pokoknya",5
251,Kemasannya pecah,4
252,Barang sdh sampai dg baik.,5
253,ok,5
254,cepat bersih protekted,5
255,"Rasanya lmyn, manis2 gt.. tp kentangnya lmyn garing n gurih.. thanks seller!",5
256,"Pengemasan baik, pengiriman cepat, pertahanakan yaa ...",5
257,"Untuk rasa makanannya sudah oke. Enak.
Mungkin khusus packing msh perlu lbh diperhatikan ya. Td saya buka paket nya, wadah tempat kripiknya hancur bagian atas dan bawahnya.",5
258,,5
259,"Pengiriman lumayan cepat utk sampai kota Medan, packing baik, kualitas baik, recommended seller. Terimakasih.",5
260,"Pesanan cpt sampainya, pengemasan rapi, mudah2an rasanya enak",5
261,sip. sesuai.,5
262,"mantap,ud belanja dsni 2 x 👍👍👍👍",5
263,"pengiriman cepaaat.
satu hari sampai, pagi 2 sekali.
kualitas produk enaak
masih baru.",5
264,Mantap,5
265,enak rasa nya... pengemasan rapi,5
266,enak...........,5
267,brg sesuai deskripsi.thx gan,5
268,Lebih enak lgi kl ada rasa pedasnya,4
269,,5
270,kimchinya enak segar..cocok buat pendamping makanan 😘,5
271,puas belanja di sini. pengiriman cepat.,5
272,Packaging rapih dan barangnya sesuai.. Hanya saja pengirimannya lumayan lama padahal lokasi berdekatan.. Next semoga bisa diperbaiki.. 👍,5
273,Seller responsif. Kimchi original benar2 kecutttt bangetttt,5
274,,5
275,"Yang tipe asam, Kecut tidak manis. Keluarga ada yg diabet di rumah, jadi cocok. Terima kasih.",5
276,wenak tenan,5
277,"Pengirimannya cepat sekalii.. pesan siang, dikirim besok pagi dan sampai tujuan sore.. 👍👍",5
278,sayang kemasan kimchinya meletus karena tekanan gas nya saat pengiriman. yg satu lg sdh siap meletus untung keburu sampai duluan. jd basah semua packaging bagian dalamnya.,4
279,the best kimchi.. rasanya enakkk.. ori nya enak yang manis juga enak.. pingin cobain yang pedas hihihiii mantul,5
280,,5
281,"seller ramah, fast respon, packing rapi, kualitas produk baik, pengiriman cepat",5
282,Terima kasih barang telah kami terima dengan kondisi bagus..,5
283,Enakkk rasanya,5
284,"pengiriman cepat, rasanya enak 👍🏻",5
285,Recommended! ♥️,5
286,"Enak rasanya, pengiriman cepat. Terimakasih seller",5
287,respon baik proses dan pengiriman cepat,5
288,,5
289,,5
290,"enak, kering kentang nya fresh, sip deh pokoknya",5
291,Kemasannya pecah,4
292,Barang sdh sampai dg baik.,5
293,ok,5
294,cepat bersih protekted,5
295,"Rasanya lmyn, manis2 gt.. tp kentangnya lmyn garing n gurih.. thanks seller!",5
296,"Pengemasan baik, pengiriman cepat, pertahanakan yaa ...",5
297,"Untuk rasa makanannya sudah oke. Enak.
Mungkin khusus packing msh perlu lbh diperhatikan ya. Td saya buka paket nya, wadah tempat kripiknya hancur bagian atas dan bawahnya.",5
298,,5
299,"Pengiriman lumayan cepat utk sampai kota Medan, packing baik, kualitas baik, recommended seller. Terimakasih.",5
300,"packaging aman, barang lengkap, kemasan bagus, pengiriman juga cepat, nanti order lagi yaa",5
301,"Puas dengan packingan aman, tapi sayang sekali SANGAT KECEWA dengan kerja sama ekspedisi ANTER AJA dengan tokopedia, saya menggunakan jasa Anter Aja NEXT DAY, pesan dari tanggal 24, di track ktnya tggl 25 jam 8 pagi sudah menuju diantar ke buyer, tapi apa?Paket baru sampai tanggal 27, itupun dari tanggal 25 saya telfon cs anter aja dan responnya hanya ""saya bantu laporkan ya kak"", oke ditgg tanggal 26 dan belum dtg jg saya telfon lagi ke cs nya dan hanya terucap ucapan yg sama, tanggal 27 pagi saya telfon lagi dgn keadaan memaki"" krn sy pesawat saya balik ke makassar itu siang menuju sore, saya telfon cs 3 kali dengan komplain yg sama, akhirnya jam 11 paket baru datang. TIDAK PUAS DENGAN EKSPEDISI ANTER AJA. PEMBELI MENGGUNAKAN JASA NEXT DAY KARENA ADA YG TRBURU"".",4
302,mantab,5
303,Kemasan baik. Trims.,5
304,Uenak tenan 👍👍👍👍👍,5
305,Sipp,5
306,Makasih banyak seller,5
307,Mantap pengemasan dan pengiriman cepet. Terimakasih sellee dan shopee,5
308,"Biar bintang yg berbicara, pokoknya mantap deh",5
309,Enak banget. Paling enak yang rasa green tea. Recommend banget.,5
310,"rasa oke, packaging agak bocor",4
311,Enak. Mantap,5
312,,5
313,Surprisingly enak banget kimchinya. Ngga pedas dan asemnya juga pas. Lengkap isinya. Yummy.....,5
314,"Enak kimchinya.. rasa asem pedesnya sopan ndak berlebihan, seger cocok sama lidah lokal, juga ndak ada rasa pahit sperti kimchi kemasan di swalayan kebanyakan
Kemasan bagus, box plastiknya pecah mungkin kesalahan di ekspedisi dalam handle paketnya.. tapi ndak masalah kok, kimchinya aman ndak tumpah""
Overall okelah.. puas blanjanya, seller juga juga ramah produknya enak.. sukses lapaknya juragan mimin",5
315,"Cepet banget ngirimnya. Order malam. Pagi udah datang. Rasanya juga enakm pedesnya pas, ga asem juga ending ga pahit. Suka. Bisa buat campuran masakan ataupun camilan",5
316,"Kiriman cepat, kimchi nya pun enak, makasi sisss 😘",5
317,enak.. recommended..kwalitas bagus,4
318,good.. sudah langganan,5
319,The package was proper wrapped and the taste was really good. I will order it again for sure.,5
320,,5
321,"Karena udah ternama, ngga pernah mengecewakan tokonya. Sangat menjaga layanan yah. Luar biasa🥰",5
322,,5
323,"cepat sampai paking rapi, cm satu teri kurang segar ya",5
324,pengiriman lmaa,3
325,pengiriman cepat. sesuai pesanan. recommended seller,5
326,Jika pengiriman lebih cepat akan sangat memuaskan 👍,5
327,Barang yang diterima sesuai pesanan,5
328,Oke. Sesuai dengan gambar.,5
329,Makasssssiiihhhh enak abiz ini teri. Brasa ovennya ndak eneg minyak. Mantab dah 👍,4
330,Kesukaan anak lanang. Selalu belinya disini deh🥰,5
331,pembelian ke 3 kalinya 👍👍👍,5
332,"pembelian ke 2 disini, enak bangettt...",5
333,"Like usual, special bu Rudy 👍🏻",5
334,Barang yang diterima sesuai pesanan,5
335,Teri nya ga melempem walau udah seminggu. Kurang pedas dikit,5
336,"barang diterima sesuai pesanan, ...",5
337,produk sesuai dan pengiriman lumayan cepat dan rapi,5
338,enak sesuai pesanan,5
339,"Packing sangat bagus sampai di tujuan dengan baik, Terinya gurih enak bener",5
340,"kurir Nya ramah barang cepat sampai, tetapi barang nya tidak sesuai dengan pesanan yg saya pesan warna biru yang dikirim warna pink",1
341,"Paket otak2 bandeng tiba..tadi sore jam 5 sore..dikirim kemaren siang.
Alhamdulillaah..masih ada 3 potong es...belum mencair total es nya..
jadi bandengnya masih bagus..dimkn utk buka puasa..tq.
enak..sukaa..agak pedas dikit..tq yaa.
beli 2.",5
342,pengemasan aman. pengiriman cepat. bandeng tetap fresh.,5
343,barang cepat dan enak,5
344,Response seller baik dan proses delivery cepat. Pesanan sudah diterima dalam kondisi baik sesuai order.,5
345,"Overall ikannya enak, manis gurih pedasnya pas. Ketika dibuka sedikit berlendir, mungkin karena kepanasan dan kelamaan waktu dikirim.

Pengiriman agak lama (1 minggu), karena ada kejadian styrofoam rusak.",5
346,rasanya mantul penjualnya ramah fast respon,5
347,Mantul sesuai pesanan..thanks ya gan..,5
348,respon chat & packing baik. terima kasih,5
349,........... zzzzzzzzzzz,5
350,"sesuai deskripsi, pelapak super responsif dan profesional",5
351,"beresssss.... cepat mantap. dendeng nya tebal tapi empuk

mantaaaaaapppp",5
352,"packing selalu rapi, pengiriman juga cepat. sdh bbrp kali beli. enakkkkkkk
terimakasih banyak pak
GBU",5
353,mantap... cepat .... thank u,5
354,"terimakasih banyak... enakkkkkkk....
packing rapi....
pengiriman cepat...
sdh beli kesekian kalinya
Tuhan Yesus memberkati.
Amin",5
355,enak buangettttt sipp deh pokoke,5
356,Dendeng sapi nya sesuai dengan pesanan.,5
357,"sangat puas, sdh beli ke sekian kalinya. packing sangat rapih. sampai sangat cepat. pokoknya mantul deh. terima kasih banyak seller. selamat Natal. Tuhan Yesus memberkati. Amin",5
358,"packing sangat rapi, pengiriman cepat dan rasa enak",5
359,Sudah langganan... Enakkkkk.... Packing rapih. Makasih banyak ya. Tuhan Yesus memberkati. Sukses selalu,5
360,"Expired nya lumayan cepet ya dikasinya, juli 2021, semoga belum keburu apek rasanya dan sebelum juli sudah habis, soalnya anak kos jadi dikonsumsi sendiri.",4
361,"cepat diprosesnya....terinya juga enak yg original, tp lbh enak lg yg balado..",5
362,"cepat diprosesnya....terinya juga enak yg original, tp lbh enak lg yg balado..",5
363,mantap,5
364,"udah di kasih keterangan original dan rumput laut,tp yg datang BBQ",3
365,"kurang sedap, kurang kerasa ikan nya",3
366,paket keterima dg baiik.. favorit orgtua.. enak tdk asin.. jd teman mkn nasi.. trmksh kak,5
367,"Udah dtg , thx y",5
368,paket keterima dg baiikk.. sellau pesan d sini krn kesenangan orgtua.. trmksh ya kak.. sukses selalu dn tambah byk pelanggan nya..,5
369,paket keterima dg baik.. pakingan dg kardus.. rasa tdk asin.. orgtua sy cocok dn suka.. sdh 2x order.. sellernya jg ramah.. trmksh ya kak.. sukses selalu,5
370,enak baru dateng udah dicemil in,5
371,Tidak ada yg buat sy suka. barangnya kurang fresh. Lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak.,4
372,agak terlalu kering ya tempenya.. kemasan ga ada labelnya bu rudy seperti di gambar,4
373,kenapa prosesnya lama ya. apa tidak ready,1
374,ok,5
375,Good product.. Good seller,5
376,Maaf aga keras ya..bumbunya krg brasa. Tks,3
377,"Pengiriman cepat, packing rapi",5
378,,5
379,Sampenya cepet dan rapi.. belom dicobain...,5
380,Bau amis,2
381,"<>Barang diterima sesuai photo & pesanan, packing ckp rapi & aman, cepat nyampe nya jg makasih seller",5
382,"barang sudah diterima, tapi belum dimasak.",5
383,Enak suka ikannya.,5
384,Enakkkk.........,5
385,"Enak lain kali beli lagi,trimakasih gan",5
386,Cocok semuanya..thx ya,5
387,Rasanya pas d lidah,5
388,Favorite,5
389,sesuia dengan Pesanan....Thanks,5
390,Cpt bgt sampe nya gaada 1 jam uda sampe😍suka bgt salad nyaa 😚,5
391,Mantap enak banget langsung abis,5
392,Enak saladnya..creamy kuahnya...seller ramah...sampainya jg tepat waktu..thx alot ya..anak sy suka salad nya...,5
393,Suuuukkkkaaaaa😘,5
394,Mantulll sekali ... Selalu langganan beli salad disini ...,5
395,"Akuratt...patent, service excellence, rasa ciamik",5
396,Enak banget. Nyesel cuma beli satu. Makasih ya kak sudah bikin salad buah terenak.,5
397,Gk sempet foto dah keburu habis,5
398,"Mantulll rasanya👍🏻promonya sering sering juga ya, meski gak promo pun tetep mantul karna seenak itu♥️",5
399,Mantaaaappppp uwenaaakkk,5
400,pesannya keju spesial... yg dikirim coklat keju,4
401,"produk ok, lain kali kalau serahkan barang ke kurir jangan terlalu malam. karena sampainya ke penerima jadi molor 1 hari.",4
402,"Alhamdulillah,sampai tepat waktu sblm buka puasa ....mksh Kartika sari",5
403,"Barang sampe hanya saja pengiriman agak lama, rasanya pun ya lumayan lah terimakasih",5
404,"Enak neh psg molennya, packing rapi ... thks yah",5
405,Packingnya mantap sih,5
406,Barang sudah diterima sesuai pesanan. Thanks.,5
407,mantul,5
408,rasanya enak karena beli langsung dari seller nya,5
409,pesanan sampai tepat waktu makasih seller dan kurir sicepat 🌟⭐🌟⭐⭐,5
410,,5
411,"Favorite istri, dikirim buat hampers ramadhan. Suka semua",5
