Review,Rating,Sentiment
kacang telurnya garing dan enak respon seller cepat kl bisa packing dibungkus bubble wrap biar makin aman,5,positive
kacang telur medan datang sesuai order rasa kacang enak fresh crispy seller responsif packing aman pake bubble wrap pengiriman cepat recommended seller,5,positive
enaaaakk renyah,5,positive
terimakasih barang sudah sampai dan sesuai dengan ekspektasi,5,positive
ok terima kasih ya,5,neutral
barang sampai dg baik,5,positive
kacangnya enak mantap,5,positive
produk packing pengiriman sip semua ueennaakkk kacangnya,5,positive
gercep bgt sellernya thank you yah,5,positive
mantap renyah next order lagi,5,positive
pesanan cepat diproses packing rapi produk bagus sesuai deskripsi,5,positive
mantap packingan rapi barang sesua deskripsi dan enak cepat sampai lagi seler responsif pokoknya rekomended seller,5,positive
rencana buat lebaran ternyata nggak nyampe lebaran udh habis ter makan,5,neutral
belum sy cb smg enak tdk tengik sukses sellu,5,negative
packaging perlu diperbaiki,4,negative
biasa aja rasanya tapi penjualnya baik ramah semoga berkah ya,4,negative
terimakasih seller udah gag sabar buat nyobain,5,neutral
proses cepat order jam 16 30 langsung dikirim dan sampai dalam waktu 1 jam tq seller,5,neutral
aman semua,5,positive
sukaaaa,5,positive
untuk rasanya enak dan harga terjangkau tapi pengirimannya kurang bagus soalnya nyasar,4,positive
pake sameday jadi cepat sellernya ramah produknya oke sesuai lengkap good seller,5,positive
baso aci nya enak tapi sayang admin nya kurang responsif huhuu maaf ya,4,negative
cuankie nya alot ga garing yah lumayan rasanya,4,negative
ok,3,neutral
segel rusak karena packing tipis sekali,1,negative
enak lah pokoknya,5,positive
akhir ya yg ditunggu sampe juga thank you,5,neutral
barang diterima dgn baik dan cepat terimakasih,5,positive
mantap barang sesuai pesanan,5,neutral
rasanya belum tau karena sampainya pagi dan masih puasa tapi proteksinya perlu diacungi jempol semoga original bukan kw,5,positive
mantab gan,5,positive
barang asli jdi beli dsini ajah gx usah jauhw kemalang thanks seller,5,positive
seller ramah dan baik packaging rapi aman dipakai bubble wrap recommended seller,5,positive
kripiknya dibungkus bubble satu persatu d dimskkan dus donk thanks seller,5,positive
packing aman pake wrap seller fast response mantap betul,5,positive
sekarang keripiknya tebal2 dan lebih keras jadi butuh tenaga ekstra untuk gigitnya beda sama yg dulu btw packingannya super rapi masing2 item dibungkus dengan bubble recommended seller,3,negative
produk bagus fast respon terima kasih,5,positive
belum dicoba sih tapi semoga enak nyesel cuma beli 100gr dikit bangett,3,neutral
enak kacangnya empuk lumayan oke juga dengan harga yang masih terjangkau,5,positive
agak melempem ya,4,negative
cepat sampai rasa enak memuaskan,5,positive
enak packaging juga rapih terima kasih,5,positive
rasa enak ga tengik,5,positive
ada yg gosongnyaa,4,negative
enak mede nyaaa,5,positive
repeay order sekian kalinya kardusnya basah kena hujan untung kacangnya dibungkus dgn bubble wrap,5,positive
mudah2an enk harus dipercepat pengirimanya,4,negative
yang tiba varian original,4,negative
maaf ya barangnya tidak diterima,3,negative
mantapppp sesuai deskripsi,5,positive
ternyata rasa jagung bakar sama nori kurang klop rasanya unik,3,negative
rasa enak pengiriman cepat sayang pas mau digoreng patah2 ikannya pdhl sdh dari frezer,4,negative
packing dengan bubble dus sangat rapi sehingga kondisi bandeng aman semoga tidak terlalu asin cukup pake free ongkir bisa lo seller responsif,5,positive
rekomended pokoknya,5,neutral
mantap rekomended,5,neutral
mantap pelayanan dan produknya recommended banget,5,positive
delivery on time bandeng nikmat sesuai deskripsi,5,positive
pelayanannya ramah packingnya sip deliverynya prima produknya top untuk harga yg terjangkau recommended banget yang mau coba jangan ragu betul lho,5,positive
packing bagus cepat sampai ini u kasih org sukses yaa,5,positive
repeat orderke sekian kali enakk cocokk,5,positive
ownernya ramah dan baik responya cepat packagingnya super duper rapih barangnya good quality bakal repeat order lagi sukses selalu mbak cantik,5,positive
lumayan enak tp terlalu mahal tidak sebanding dg harga,3,negative
ownernya ramah packaging ok bakal repeat order thankyou,5,positive
ownernya ramah responya cepat packaging dan pengiriman ok thankyou amut utk servicenya bakal repeat order,5,positive
seller ramah responsif sangat membantu jadi komunikasi nya enak packing rapi dan pengiriman cepat repeat order sih ini,5,positive
paket sampai siang hr yg dikirim katanya suka terima kasih ya,5,positive
fast respond penjual ramah delivery on time thanks,5,positive
puas banget makasih,5,positive
enak sekali pemjual sangat responsif dan ramah sangat membantu pengiriman cepat akan pesan lagi sih pasti,5,positive
nasi jeruknya enak ayamnya juga pengiriman cepat,5,positive
repeat order yang kesekian kalinya pelayanan dan respon toko selalu baik kualitas makanan dan rasanya selalu baik recommended,5,positive
best paling enak dibanding produk sejenis ngga eneg,5,positive
di deskripsi full baked aman utk bumil dan udh ksh notes juga utk dipastiin mateng krna lg hamil ternyata salmonnya msh mentah bismillah semoga gapapa lain kali tolong dipastiin aja kalo udh mateng,2,negative
salmonnya dan saus mentainya melimpah ruah kesukaan kalo lg ke jakarta pasti pesan ini tapi ntah kenapa kali ini rasanya aga asin,5,negative
sebelumnya pernah beliin dia salmon mentai pas beda tempat kerja waktu itu momomaru kalo ga salah hanya ada salmon sama chicken katsu mentai tahun lalu dia minta momomaru tapi baru bisa beliin momomaru sekarang saat dia udah 1 tempat kerja bareng gue baru bisa beliin walaupun ongkirnya lebihin harga 1porsi salmon mentai gue mau bayar utang gue walaupun sekarang dia lagi deket sama orang lain,5,neutral
lidah saya lidah ndeso,4,neutral
sdh terima blm dimkn,5,neutral
enak pesan tadi siang jam 1 sampai jakarta barat jam setengah 6 sore masih hangat tapi saya hangatkan lagi di microwave makin enak tidak asin suka,5,positive
enak kimcinya pas rasanya tdk terlalu pedas,5,positive
enak asam nya pas,5,positive
enak pas rasa nya samwon resto memang terkenal tempat makan para expat korean di jkt seller responsif sangat membantu ttg produk,5,positive
gmna ya ini kali kedua beli kamren beli yang 1kg baik2 aja ini beli yang stgh kg malah plastik vakum nya bocor sedih sih jadi air kimchinya ga ada padahal mau di bikin kimchi jiggae,4,negative
enak bangattt,5,positive
fresh kimchinya,5,positive
pesanan sesuai enak pengiriman cepat,5,positive
rasanya kayak ada pait paitnya,5,negative
unt rasa krg pedes dikit dan asemnya dikrgi dkt itu menurut sy,5,negative
barangnya puas,5,positive
menyengkan belanja dsini profesional bgt,5,neutral
sipppp,5,neutral
reorder terus,5,neutral
top termurah,5,positive
selalu langganan jadi kalo kangen lumpia asli semarang langsung order disini karena posisinya pun di jakarta kualitas sangat terjaga respon cepat dan tepat terima kasih banyak ya,5,positive
sudah repeat order yg kesekian dan alhamdulillah selalu puas seller jg ramah dan komunikatif tks ya sukses trs,5,positive
pembelian kesekian,5,neutral
sudah beberapa kali pesan rasa selalu enak dan sesuai harga,5,positive
orderan ke 3kalinya dalam waktu yg dekat tapi kemasanya makin kecil pdhl dg jml pembelian yg sama kebetulan beseknya bisa diliat dg ukuraya yg mkin kcl semoga lumpia semarang tetep mempertahankan pelayanan dan kwlitas jgn lama2 makin kcl mksh,4,negative
pernah order di gojek dan di tokped belum pernah kecewa sama produknya,5,positive
repeat order lumpia nya enak cocok dan delivery cepat admin nya ramah,5,positive
mengobati rasa kangen lumpia semarang josh gandhosss,5,neutral
tunggu buka puasa baru dicoba ya kiriman super cepet mantul bgt,5,neutral
agak masam y ngk kyk biasa ny,3,negative
minil2 jd praktis dimakannya,5,positive
barang oke packing rapih penjual responsif,5,positive
kesekian kali order disini tetap mantap,5,positive
enak tapi utk rasa perlu ditingkatkan,4,negative
not bad ada pahit pahitnya,4,negative
enakk euyy,5,positive
mantap seperti biasanya lah,5,positive
enak semua suka,5,positive
packaging bagus rasa enak tp warna kartu ucapan terlalu gelap jadi tidak kelihatan kalau ditulis bahan kertas kartu ucapan jg sulit ditulis tp overall bagus kok,4,negative
brownies nya enakkk bgt lembut chewy berasa dark chocolate jg jd ga cm manis doang paling suka yg kismis packing aman sentosa dan lucu bgt design nya ada beruang dan pantatnya wkwkwk terima kasih bearly baker so sorry bawel di chat wkwkwk,5,positive
karena ini buat temen aku jadi ga punya fotonya alhamdulillah temen aku suka,5,positive
super yummy,5,positive
cepet banget dikirimnya kemarin maghrib baru pesen terus pagi ini udah sampai padahal pesennya lumayan banyak hehehe terima kasih bearlybaker,5,positive
dari dulu sukaa best in town,5,positive
respon seller cepat pengiriman juga cepat thanks,5,positive
browniesnya enak respon seller cepat cuma kayaknya dikartunya lupa ditulis to from nya padahal sudah ditulis jg dicatatan hehe,5,negative
pesan yg varian 20pcs tp cuma dikirim 10pcs,1,negative
order bareng produk lainnya jadi 3 box di kemas dalam paper bag alhamdulillah aman saat diterima rasanya juara banget sea saltnya bikin sensasi yang akhir yang asik bgt,5,positive
paling favorit,5,neutral
enak tp menurut saya terlalu manis masih lebih enak the diva,5,negative
enaaak keponakan saya suka bgt saya sampe ga kebagian hehehe,5,positive
sampai cepet uga,5,neutral
mantep dan bagus pelayanan cookies nya jg enaaakkk,5,positive
ga ada obat,5,neutral
maap gak sempet foto udh dimakanin pas buka puasa,5,neutral
maaf baru kasih ulasan karena baru dicoba buat makan sahur ayamnya enak bumbunya meresap anak ku suka pengiriman cepat packing rapi thanks ya,5,positive
suka makanannya dr toko ini enak rasa rumahan moga2 nambah terus menu2nya,5,positive
selalu mantap,5,positive
ini order kedua kalinya top markotop enak bumbunya meresap ke dagingnya ayamnya juga pas lunaknya recommended,5,positive
enak terima kasih,5,positive
sudah sering belanja di sini selalu puas masakannya enak semua packing juga sangat rapih pengiriman cepat sukses terus ya terima kasih utk bonusnya,5,positive
suka masakan d toko ini masakannya enak cocok ama selera kita,5,positive
selalu puas mohon dipertahankan ya,5,positive
ayam gorengnya enak tapi bumbu serundeng laosnya krg byk,5,negative
2nd purchase,5,neutral
pesanan cpt sampainya pengemasan rapi mudah2an rasanya enak,5,positive
mantap ud belanja dsni 2 x,5,neutral
pengiriman cepaaat satu hari sampai pagi 2 sekali kualitas produk enaak masih baru,5,positive
enak rasa nya pengemasan rapi,5,positive
brg sesuai deskripsi thx gan,5,neutral
lebih enak lgi kl ada rasa pedasnya,4,negative
kimchinya enak segar cocok buat pendamping makanan,5,positive
puas belanja di sini pengiriman cepat,5,positive
packaging rapih dan barangnya sesuai hanya saja pengirimannya lumayan lama padahal lokasi berdekatan next semoga bisa diperbaiki,5,negative
seller responsif kimchi original benar2 kecutttt bangetttt,5,negative
yang tipe asam kecut tidak manis keluarga ada yg diabet di rumah jadi cocok terima kasih,5,positive
wenak tenan,5,positive
pengirimannya cepat sekalii pesan siang dikirim besok pagi dan sampai tujuan sore,5,neutral
sayang kemasan kimchinya meletus karena tekanan gas nya saat pengiriman yg satu lg sdh siap meletus untung keburu sampai duluan jd basah semua packaging bagian dalamnya,4,negative
the best kimchi rasanya enakkk ori nya enak yang manis juga enak pingin cobain yang pedas hihihiii mantul,5,positive
seller ramah fast respon packing rapi kualitas produk baik pengiriman cepat,5,positive
terima kasih barang telah kami terima dengan kondisi bagus,5,neutral
enakkk rasanya,5,positive
pengiriman cepat rasanya enak,5,positive
enak rasanya pengiriman cepat terimakasih seller,5,positive
respon baik proses dan pengiriman cepat,5,positive
packaging aman barang lengkap kemasan bagus pengiriman juga cepat nanti order lagi yaa,5,positive
puas dengan packingan aman tapi sayang sekali sangat kecewa dengan kerja sama ekspedisi anter aja dengan tokopedia saya menggunakan jasa anter aja next day pesan dari tanggal 24 di track ktnya tggl 25 jam 8 pagi sudah menuju diantar ke buyer tapi apapaket baru sampai tanggal 27 itupun dari tanggal 25 saya telfon cs anter aja dan responnya hanya saya bantu laporkan ya kak oke ditgg tanggal 26 dan belum dtg jg saya telfon lagi ke cs nya dan hanya terucap ucapan yg sama tanggal 27 pagi saya telfon lagi dgn keadaan memaki krn sy pesawat saya balik ke makassar itu siang menuju sore saya telfon cs 3 kali dengan komplain yg sama akhirnya jam 11 paket baru datang tidak puas dengan ekspedisi anter aja pembeli menggunakan jasa next day karena ada yg trburu,4,neutral
kemasan baik trims,5,positive
uenak tenan,5,positive
sipp,5,neutral
makasih banyak seller,5,neutral
mantap pengemasan dan pengiriman cepet terimakasih sellee dan shopee,5,positive
biar bintang yg berbicara pokoknya mantap deh,5,positive
enak banget paling enak yang rasa green tea recommend banget,5,positive
rasa oke packaging agak bocor,4,negative
surprisingly enak banget kimchinya ngga pedas dan asemnya juga pas lengkap isinya yummy,5,positive
enak kimchinya rasa asem pedesnya sopan ndak berlebihan seger cocok sama lidah lokal juga ndak ada rasa pahit sperti kimchi kemasan di swalayan kebanyakan kemasan bagus box plastiknya pecah mungkin kesalahan di ekspedisi dalam handle paketnya tapi ndak masalah kok kimchinya aman ndak tumpah overall okelah puas blanjanya seller juga juga ramah produknya enak sukses lapaknya juragan mimin,5,positive
cepet banget ngirimnya order malam pagi udah datang rasanya juga enakm pedesnya pas ga asem juga ending ga pahit suka bisa buat campuran masakan ataupun camilan,5,positive
kiriman cepat kimchi nya pun enak makasi sisss,5,positive
enak recommended kwalitas bagus,4,positive
good sudah langganan,5,positive
the package was proper wrapped and the taste was really good i will order it again for sure,5,positive
karena udah ternama ngga pernah mengecewakan tokonya sangat menjaga layanan yah luar biasa,5,positive
cepat sampai paking rapi cm satu teri kurang segar ya,5,positive
pengiriman lmaa,3,negative
pengiriman cepat sesuai pesanan recommended seller,5,positive
jika pengiriman lebih cepat akan sangat memuaskan,5,negative
oke sesuai dengan gambar,5,neutral
makasssssiiihhhh enak abiz ini teri brasa ovennya ndak eneg minyak mantab dah,4,positive
kesukaan anak lanang selalu belinya disini deh,5,positive
pembelian ke 3 kalinya,5,neutral
pembelian ke 2 disini enak bangettt,5,neutral
like usual special bu rudy,5,positive
teri nya ga melempem walau udah seminggu kurang pedas dikit,5,positive
barang diterima sesuai pesanan,5,positive
produk sesuai dan pengiriman lumayan cepat dan rapi,5,positive
enak sesuai pesanan,5,positive
packing sangat bagus sampai di tujuan dengan baik terinya gurih enak bener,5,positive
kurir nya ramah barang cepat sampai tetapi barang nya tidak sesuai dengan pesanan yg saya pesan warna biru yang dikirim warna pink,1,negative
paket otak2 bandeng tiba tadi sore jam 5 sore dikirim kemaren siang alhamdulillaah masih ada 3 potong es belum mencair total es nya jadi bandengnya masih bagus dimkn utk buka puasa tq enak sukaa agak pedas dikit tq yaa beli 2,5,positive
pengemasan aman pengiriman cepat bandeng tetap fresh,5,positive
barang cepat dan enak,5,positive
response seller baik dan proses delivery cepat pesanan sudah diterima dalam kondisi baik sesuai order,5,positive
overall ikannya enak manis gurih pedasnya pas ketika dibuka sedikit berlendir mungkin karena kepanasan dan kelamaan waktu dikirim pengiriman agak lama 1 minggu karena ada kejadian styrofoam rusak,5,negative
rasanya mantul penjualnya ramah fast respon,5,positive
mantul sesuai pesanan thanks ya gan,5,positive
respon chat packing baik terima kasih,5,positive
zzzzzzzzzzz,5,neutral
sesuai deskripsi pelapak super responsif dan profesional,5,positive
beresssss cepat mantap dendeng nya tebal tapi empuk mantaaaaaapppp,5,positive
packing selalu rapi pengiriman juga cepat sdh bbrp kali beli enakkkkkkk terimakasih banyak pak gbu,5,positive
mantap cepat thank u,5,positive
terimakasih banyak enakkkkkkk packing rapi pengiriman cepat sdh beli kesekian kalinya tuhan yesus memberkati amin,5,positive
enak buangettttt sipp deh pokoke,5,positive
dendeng sapi nya sesuai dengan pesanan,5,positive
sangat puas sdh beli ke sekian kalinya packing sangat rapih sampai sangat cepat pokoknya mantul deh terima kasih banyak seller selamat natal tuhan yesus memberkati amin,5,positive
packing sangat rapi pengiriman cepat dan rasa enak,5,positive
sudah langganan enakkkkk packing rapih makasih banyak ya tuhan yesus memberkati sukses selalu,5,positive
expired nya lumayan cepet ya dikasinya juli 2021 semoga belum keburu apek rasanya dan sebelum juli sudah habis soalnya anak kos jadi dikonsumsi sendiri,4,negative
udah di kasih keterangan original dan rumput laut tp yg datang bbq,3,negative
kurang sedap kurang kerasa ikan nya,3,negative
paket keterima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5,positive
udah dtg thx y,5,neutral
paket keterima dg baiikk sellau pesan d sini krn kesenangan orgtua trmksh ya kak sukses selalu dn tambah byk pelanggan nya,5,positive
paket keterima dg baik pakingan dg kardus rasa tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses selalu,5,positive
enak baru dateng udah dicemil in,5,positive
tidak ada yg buat sy suka barangnya kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4,negative
agak terlalu kering ya tempenya kemasan ga ada labelnya bu rudy seperti di gambar,4,negative
kenapa prosesnya lama ya apa tidak ready,1,negative
good product good seller,5,positive
maaf aga keras ya bumbunya krg brasa tks,3,negative
sampenya cepet dan rapi belom dicobain,5,positive
bau amis,2,negative
barang diterima sesuai photo pesanan packing ckp rapi aman cepat nyampe nya jg makasih seller,5,positive
barang sudah diterima tapi belum dimasak,5,neutral
enak suka ikannya,5,positive
enak lain kali beli lagi trimakasih gan,5,positive
cocok semuanya thx ya,5,positive
rasanya pas d lidah,5,positive
sesuia dengan pesanan thanks,5,neutral
cpt bgt sampe nya gaada 1 jam uda sampesuka bgt salad nyaa,5,positive
mantap enak banget langsung abis,5,positive
enak saladnya creamy kuahnya seller ramah sampainya jg tepat waktu thx alot ya anak sy suka salad nya,5,positive
suuuukkkkaaaaa,5,positive
mantulll sekali selalu langganan beli salad disini,5,positive
akuratt patent service excellence rasa ciamik,5,positive
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah terenak,5,positive
gk sempet foto dah keburu habis,5,neutral
mantulll rasanyapromonya sering sering juga ya meski gak promo pun tetep mantul karna seenak itu,5,positive
mantaaaappppp uwenaaakkk,5,positive
pesannya keju spesial yg dikirim coklat keju,4,negative
produk ok lain kali kalau serahkan barang ke kurir jangan terlalu malam karena sampainya ke penerima jadi molor 1 hari,4,negative
alhamdulillah sampai tepat waktu sblm buka puasa mksh kartika sari,5,positive
barang sampe hanya saja pengiriman agak lama rasanya pun ya lumayan lah terimakasih,5,negative
enak neh psg molennya packing rapi thks yah,5,positive
packingnya mantap sih,5,positive
barang sudah diterima sesuai pesanan thanks,5,positive
rasanya enak karena beli langsung dari seller nya,5,positive
pesanan sampai tepat waktu makasih seller dan kurir sicepat,5,positive
favorite istri dikirim buat hampers ramadhan suka semua,5,positive
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5,positive
pengiriman tercepat se asia tenggara terima kasih,5,positive
luar biasa,5,neutral
udh bbrp kali beli disini rasa sei nya enak bgt pasti order berkali kali lagi nih,5,positive
langsung di cobain enak mantap sambelnya jos,5,positive
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5,neutral
nice perfecto barang d terima dengan sangat baik respon cepat pengiriman cepat pelayanan cepat dan ramah buat agan2 yg lain pokoknya gak usah ragu deh dengan boss yg satu ini dijamin memuaskan terima kasih dan sukses terus bossque,5,positive
tq brg cpt nyampe dan enak,4,positive
lumayan enak namun sayang nggak free ongkir katanya bs next day namun 2 hari setelah pesan baru sampai,4,negative
alhamdulillah sampai tepat waktu sebelum buka puasa,5,positive
puassssssssssssss dikirimnya ke pacarku krn pacarku suka bangettt,5,positive
mantap pisangnya,5,positive
pengemasan bagus hanya saya pesan jumat jd baru dikirim senin karena sabtu libur jd baru sampai selasa malam,5,positive
alhamdulillaah paket sdh datang terima kasih,5,positive
rasanya enak karena beli langsung dari sellernya,5,positive
puas bangettt rasanya enak porsinya bs buat 5 org lebih penampakan bagus kereeen mantul bgtt,5,positive
ldr sm kluarga jd kirim tumpeng buat buka puasa alhamdulillah pd blg makanannya enak dan byk sambelny jg mantep thank you yaaa sukses slalu,5,positive
enak dan tampilan bagus terimakazih,5,positive
enaaak banget rasanya cocok sama taste kita,5,positive
bagus tumpengnya lmyn byk utk porsi 5 org pengiriman jg ontime,5,positive
puas porsi cukup rasa enak seller responsive pengiriman aman thank you,5,positive
enaaaaak bgt n makasih dh bs ambil order dadakan bgt highly recommend,5,positive
tumpeng nya enax bgt next psn lg thx,5,positive
masakan nya enak hiasan nya juga cantik harga juga sesuai gak salah pilih pesan nasi tumpeng di sini makasih ya kak berkah dan lancar trus amin,5,positive
enak rasanya walau porsi kecil pembeli baik respon ramah kurir ramah jg,5,positive
alhamdulillah barangnya sudah sampai tks seller dan tokopedia seller nya korporatif good,5,positive
sesuai pesanan proses cepat terima kasih,5,positive
seller nya fast respon mantap,4,positive
seneng bgt belanja di toko ini sellernya ramah fast respon dan sangat membantu untuk nasi briyani nya enak bgt tidak usah diragukan lagi rekomended pokoknya,5,positive
sesuai pesanan terima kasih,5,neutral
produk bagus sesuai harga,4,positive
produk sesuai etalase harga murah tapi sayang mungkin stok lama jadi ada kutunya setelah dimasak rasanya kurang kuat seller responnya bagus dan ramah,4,negative
barang sesuai gambar dan deskripsi mksh,5,neutral
terima kasih bnyk kak,5,neutral
good pengiriman cepat recomended seller,5,positive
nasi kuningnya cantikenak semuanya,5,positive
mantap dan enak pelayanan juga super cepat dan ramah recommened seller terima kasih,5,positive
enak dan lezattt terima kasih,5,positive
pengalaman belanja online yang berkesan sesuai dengan harapan nasi tumpengnya pas sama selera lauk pauknya juga sama dengan orderan terima kasih atas srvis bintang 5 nya,5,positive
nasi tumpengnya sampai dengan selamat dan cepat semuanya enak banget terima kasih timm catering,5,positive
pelayan cepat dan tepat berasa tidak lagi belanja online deliverynya sesuai dengan jam acara untuk rasa mantap ludes des,5,positive
nasi tumpengnya sudah diterima dengan baik terima kasih,5,positive
nasi tumpeng berkualitas lauknya komplit ayam goreng kuning sambal ati ampla perkedel urap sayur telur balado orek tempe sambalnya paling enakkk pas banget pedesnya,5,positive
penataannya rapih dan menarik garnishnya kreatif ada bunga cabe dan tulisan dari wortel untuk rasa enak wangi dan gurih rasa lauk pauknya juga pas,5,positive
pelayanan cepat dan transparan keselurahan puas terutama dengan nasi kuningnya legit dan wangi lauknya juga komplit sesuai dengan orderan,5,positive
nasi legit ayam gorengnya mantap cabenya pedes sesuai dengan pesanan terima kasih,5,positive
nasi kuningnya mantap sesuai dengan harganya laukpauknya lengkap dan sedap,5,positive
sudah diterima dengan baik terima kasih,5,positive
pengiriman ontime rasa cocok dengan selera terima kasih,5,positive
mantap rasanya porsi sesuai dengan harga terima kasih,5,positive
enak mantap respon ok next klo ada acara bs order recomended,4,positive
nasi tumpengnya diterima dengan baik terima kasih,5,positive
rasa dan kualiatas nya mantap diatas ekpetasi porsinya juga sesuai dengan harganya term kasih,5,positive
penjual respon cepat sesuai deskripsi recomeneddd terima kasih,5,positive
manteb pollnasi kuningnya enak dan pulen banget urapnya juga tahan lama empal dan ayam gorengnya juga manteb sambalnya pedas dan enakresponnya manteb dan deliverynya pas banget sesuai dengan permintaan happy and recommended banget terima kasih blackstone,5,positive
sudah 2 kali pesan di sini benar2 enak deh,5,positive
enak walaupun ukurannya keliatan kecil tp bikin kenyang juga,5,positive
rasanya enak banget semua lauk pauknya enak nasinya pulen dan wangi kalo ada acara keluarga pasti akan pesan lagi disini,5,positive
mantaappp tepat waktu dan rekomended,5,positive
nasi dan lauk enak hanya yang premium pakai urapnya ga kuat sampe sore mgkn bs diberi pilihan sayur lain jika mau yg premium dan perhitungan ongkirnya juga agak krg masuk akal awalnya saya tanya kirim ke sekolahan ongkir 30rb lalu saya tny kiri ke rumah jadi 60rb pdhal rumah saya sebelahan sama sekolah buat masukan aja ke seller,4,positive
tumpeng mini nya enak recommended banget,5,positive
nasi kuningnya cantik n enak lauknya pun mantap,5,positive
nasi nya tidak keras dan lauknya enak2 untungnya order yg premium krn porsinya kurang klo menurut saya tapi overall puas dengan order ini terima kasih,5,positive
porsi pas lauk banyak rasanya sumpah enak aku pake ayam bakar dan rasanya gurih enak bumbu nya berasa banget bakal jd langganan ahh,5,positive
tumpengnya ok dan ada bonus pudingnya tks,5,positive
trima kasih pesanan sampai tujuan dengan baik trima kasih diberikan bonus puding semoga berkah,5,positive
enak banget nasi kuningnya dan lauk2nya lalapannya fresh sellernya ramah order sore bsknya diterima,5,positive
rasa memuaskan harga murah kualitas luar biasa ditambah ada bonus puding,5,positive
tumpeng nya ok utk rasa dan penampilan tp sayangnya janji kirim jam 3 ternyata sampainya jam 4 30 pdhl jam kantor hanya sampai jam 4 penerimanya jd hrs nunggu dulu gak bisa pulang utk makanan spt ini ketepatan waktu sesuai permintaan itu penting jd hrs diperhatikan,4,negative
dengan harga segitu masakannya ajip mantap masih anget pula pokonya ngak ada yg kurang puas bgt ud gitu dpt bonus lg puding khusus di bulan puasa makasih ya tunggu order berikunya,5,positive
suka bgt sama tumpeng mininya trs juga bonus pudingnyaa terimakasih yaa,5,positive
masakannya enak seller baik sayang datangnya ga ontime tapi gapapa masih aman mungkin untuk pengirimannya lebih diperhatikan lagi,5,negative
alhamdulillaah sesuai order pengiriman on time menu mantabz apalagi rasa nya maknyoooss recommended dech,5,positive
pertama kali pesen tumpeng disini puas bgt dtg tepat waktu dan rasanya enak bgt owner juga baik bgt sukses terus yaa,5,positive
