Review,Rating
mantap rekomended,5
mantap pelayanan dan produknya recommended banget,5
delivery on time bandeng nikmat sesuai deskripsi,5
pelayanannya ramah packingnya sip deliverynya prima produknya top untuk harga yg terjangkau recommended banget yang mau coba jangan ragu betul lho,5
packing bagus cepat sampai ini u kasih org sukses yaa,5
repeat orderke sekian kali enakk cocokk,5
ownernya ramah dan baik responya cepat packagingnya super duper rapih barangnya good quality bakal repeat order lagi sukses selalu mbak cantik,5
lumayan enak tp terlalu mahal tidak sebanding dg harga,3
ownernya ramah packaging ok bakal repeat order thankyou,5
ownernya ramah responya cepat packaging dan pengiriman ok thankyou amut utk servicenya bakal repeat order,5
seller ramah responsif sangat membantu jadi komunikasi nya enak packing rapi dan pengiriman cepat repeat order sih ini,5
paket sampai siang hr yg dikirim katanya suka terima kasih ya,5
fast respond penjual ramah delivery on time thanks,5
puas banget makasih,5
enak sekali pemjual sangat responsif dan ramah sangat membantu pengiriman cepat akan pesan lagi sih pasti,5
nasi jeruknya enak ayamnya juga pengiriman cepat,5
repeat order yang kesekian kalinya pelayanan dan respon toko selalu baik kualitas makanan dan rasanya selalu baik recommended,5
best paling enak dibanding produk sejenis ngga eneg,5
di deskripsi full baked aman utk bumil dan udh ksh notes juga utk dipastiin mateng krna lg hamil ternyata salmonnya msh mentah bismillah semoga gapapa lain kali tolong dipastiin aja kalo udh mateng,2
salmonnya dan saus mentainya melimpah ruah kesukaan kalo lg ke jakarta pasti pesan ini tapi ntah kenapa kali ini rasanya aga asin,5
sebelumnya pernah beliin dia salmon mentai pas beda tempat kerja waktu itu momomaru kalo ga salah hanya ada salmon sama chicken katsu mentai tahun lalu dia minta momomaru tapi baru bisa beliin momomaru sekarang saat dia udah 1 tempat kerja bareng gue baru bisa beliin walaupun ongkirnya lebihin harga 1porsi salmon mentai gue mau bayar utang gue walaupun sekarang dia lagi deket sama orang lain,5
lidah saya lidah ndeso,4
sdh terima blm dimkn,5
enak pesan tadi siang jam 1 sampai jakarta barat jam setengah 6 sore masih hangat tapi saya hangatkan lagi di microwave makin enak tidak asin suka,5
enak kimcinya pas rasanya tdk terlalu pedas,5
enak asam nya pas,5
enak pas rasa nya samwon resto memang terkenal tempat makan para expat korean di jkt seller responsif sangat membantu ttg produk,5
gmna ya ini kali kedua beli kamren beli yang 1kg baik2 aja ini beli yang stgh kg malah plastik vakum nya bocor sedih sih jadi air kimchinya ga ada padahal mau di bikin kimchi jiggae,4
enak bangattt,5
fresh kimchinya,5
pesanan sesuai enak pengiriman cepat,5
rasanya kayak ada pait paitnya,5
unt rasa krg pedes dikit dan asemnya dikrgi dkt itu menurut sy,5
barangnya puas,5
menyengkan belanja dsini profesional bgt,5
sipppp,5
reorder terus,5
top termurah,5
selalu langganan jadi kalo kangen lumpia asli semarang langsung order disini karena posisinya pun di jakarta kualitas sangat terjaga respon cepat dan tepat terima kasih banyak ya,5
sudah repeat order yg kesekian dan alhamdulillah selalu puas seller jg ramah dan komunikatif tks ya sukses trs,5
pembelian kesekian,5
sudah beberapa kali pesan rasa selalu enak dan sesuai harga,5
orderan ke 3kalinya dalam waktu yg dekat tapi kemasanya makin kecil pdhl dg jml pembelian yg sama kebetulan beseknya bisa diliat dg ukuraya yg mkin kcl semoga lumpia semarang tetep mempertahankan pelayanan dan kwlitas jgn lama2 makin kcl mksh,4
pernah order di gojek dan di tokped belum pernah kecewa sama produknya,5
repeat order lumpia nya enak cocok dan delivery cepat admin nya ramah,5
mengobati rasa kangen lumpia semarang josh gandhosss,5
tunggu buka puasa baru dicoba ya kiriman super cepet mantul bgt,5
agak masam y ngk kyk biasa ny,3
minil2 jd praktis dimakannya,5
barang oke packing rapih penjual responsif,5
kesekian kali order disini tetap mantap,5
enak tapi utk rasa perlu ditingkatkan,4
not bad ada pahit pahitnya,4
enakk euyy,5
mantap seperti biasanya lah,5
enak semua suka,5
packaging bagus rasa enak tp warna kartu ucapan terlalu gelap jadi tidak kelihatan kalau ditulis bahan kertas kartu ucapan jg sulit ditulis tp overall bagus kok,4
brownies nya enakkk bgt lembut chewy berasa dark chocolate jg jd ga cm manis doang paling suka yg kismis packing aman sentosa dan lucu bgt design nya ada beruang dan pantatnya wkwkwk terima kasih bearly baker so sorry bawel di chat wkwkwk,5
karena ini buat temen aku jadi ga punya fotonya alhamdulillah temen aku suka,5
super yummy,5
cepet banget dikirimnya kemarin maghrib baru pesen terus pagi ini udah sampai padahal pesennya lumayan banyak hehehe terima kasih bearlybaker,5
dari dulu sukaa best in town,5
respon seller cepat pengiriman juga cepat thanks,5
browniesnya enak respon seller cepat cuma kayaknya dikartunya lupa ditulis to from nya padahal sudah ditulis jg dicatatan hehe,5
pesan yg varian 20pcs tp cuma dikirim 10pcs,1
order bareng produk lainnya jadi 3 box di kemas dalam paper bag alhamdulillah aman saat diterima rasanya juara banget sea saltnya bikin sensasi yang akhir yang asik bgt,5
paling favorit,5
enak tp menurut saya terlalu manis masih lebih enak the diva,5
enaaak keponakan saya suka bgt saya sampe ga kebagian hehehe,5
sampai cepet uga,5
mantep dan bagus pelayanan cookies nya jg enaaakkk,5
ga ada obat,5
maap gak sempet foto udh dimakanin pas buka puasa,5
maaf baru kasih ulasan karena baru dicoba buat makan sahur ayamnya enak bumbunya meresap anak ku suka pengiriman cepat packing rapi thanks ya,5
suka makanannya dr toko ini enak rasa rumahan moga2 nambah terus menu2nya,5
selalu mantap,5
ini order kedua kalinya top markotop enak bumbunya meresap ke dagingnya ayamnya juga pas lunaknya recommended,5
enak terima kasih,5
sudah sering belanja di sini selalu puas masakannya enak semua packing juga sangat rapih pengiriman cepat sukses terus ya terima kasih utk bonusnya,5
suka masakan d toko ini masakannya enak cocok ama selera kita,5
selalu puas mohon dipertahankan ya,5
ayam gorengnya enak tapi bumbu serundeng laosnya krg byk,5
2nd purchase,5
pesanan cpt sampainya pengemasan rapi mudah2an rasanya enak,5
mantap ud belanja dsni 2 x,5
pengiriman cepaaat satu hari sampai pagi 2 sekali kualitas produk enaak masih baru,5
enak rasa nya pengemasan rapi,5
brg sesuai deskripsi thx gan,5
lebih enak lgi kl ada rasa pedasnya,4
kimchinya enak segar cocok buat pendamping makanan,5
puas belanja di sini pengiriman cepat,5
packaging rapih dan barangnya sesuai hanya saja pengirimannya lumayan lama padahal lokasi berdekatan next semoga bisa diperbaiki,5
seller responsif kimchi original benar2 kecutttt bangetttt,5
yang tipe asam kecut tidak manis keluarga ada yg diabet di rumah jadi cocok terima kasih,5
wenak tenan,5
pengirimannya cepat sekalii pesan siang dikirim besok pagi dan sampai tujuan sore,5
sayang kemasan kimchinya meletus karena tekanan gas nya saat pengiriman yg satu lg sdh siap meletus untung keburu sampai duluan jd basah semua packaging bagian dalamnya,4
the best kimchi rasanya enakkk ori nya enak yang manis juga enak pingin cobain yang pedas hihihiii mantul,5
seller ramah fast respon packing rapi kualitas produk baik pengiriman cepat,5
terima kasih barang telah kami terima dengan kondisi bagus,5
enakkk rasanya,5
pengiriman cepat rasanya enak,5
enak rasanya pengiriman cepat terimakasih seller,5
respon baik proses dan pengiriman cepat,5
packaging aman barang lengkap kemasan bagus pengiriman juga cepat nanti order lagi yaa,5
puas dengan packingan aman tapi sayang sekali sangat kecewa dengan kerja sama ekspedisi anter aja dengan tokopedia saya menggunakan jasa anter aja next day pesan dari tanggal 24 di track ktnya tggl 25 jam 8 pagi sudah menuju diantar ke buyer tapi apapaket baru sampai tanggal 27 itupun dari tanggal 25 saya telfon cs anter aja dan responnya hanya saya bantu laporkan ya kak oke ditgg tanggal 26 dan belum dtg jg saya telfon lagi ke cs nya dan hanya terucap ucapan yg sama tanggal 27 pagi saya telfon lagi dgn keadaan memaki krn sy pesawat saya balik ke makassar itu siang menuju sore saya telfon cs 3 kali dengan komplain yg sama akhirnya jam 11 paket baru datang tidak puas dengan ekspedisi anter aja pembeli menggunakan jasa next day karena ada yg trburu,4
kemasan baik trims,5
uenak tenan,5
sipp,5
makasih banyak seller,5
mantap pengemasan dan pengiriman cepet terimakasih sellee dan shopee,5
biar bintang yg berbicara pokoknya mantap deh,5
enak banget paling enak yang rasa green tea recommend banget,5
rasa oke packaging agak bocor,4
surprisingly enak banget kimchinya ngga pedas dan asemnya juga pas lengkap isinya yummy,5
enak kimchinya rasa asem pedesnya sopan ndak berlebihan seger cocok sama lidah lokal juga ndak ada rasa pahit sperti kimchi kemasan di swalayan kebanyakan kemasan bagus box plastiknya pecah mungkin kesalahan di ekspedisi dalam handle paketnya tapi ndak masalah kok kimchinya aman ndak tumpah overall okelah puas blanjanya seller juga juga ramah produknya enak sukses lapaknya juragan mimin,5
cepet banget ngirimnya order malam pagi udah datang rasanya juga enakm pedesnya pas ga asem juga ending ga pahit suka bisa buat campuran masakan ataupun camilan,5
kiriman cepat kimchi nya pun enak makasi sisss,5
enak recommended kwalitas bagus,4
good sudah langganan,5
the package was proper wrapped and the taste was really good i will order it again for sure,5
karena udah ternama ngga pernah mengecewakan tokonya sangat menjaga layanan yah luar biasa,5
cepat sampai paking rapi cm satu teri kurang segar ya,5
pengiriman lmaa,3
pengiriman cepat sesuai pesanan recommended seller,5
jika pengiriman lebih cepat akan sangat memuaskan,5
oke sesuai dengan gambar,5
makasssssiiihhhh enak abiz ini teri brasa ovennya ndak eneg minyak mantab dah,4
kesukaan anak lanang selalu belinya disini deh,5
pembelian ke 3 kalinya,5
pembelian ke 2 disini enak bangettt,5
like usual special bu rudy,5
teri nya ga melempem walau udah seminggu kurang pedas dikit,5
barang diterima sesuai pesanan,5
produk sesuai dan pengiriman lumayan cepat dan rapi,5
enak sesuai pesanan,5
packing sangat bagus sampai di tujuan dengan baik terinya gurih enak bener,5
kurir nya ramah barang cepat sampai tetapi barang nya tidak sesuai dengan pesanan yg saya pesan warna biru yang dikirim warna pink,1
paket otak2 bandeng tiba tadi sore jam 5 sore dikirim kemaren siang alhamdulillaah masih ada 3 potong es belum mencair total es nya jadi bandengnya masih bagus dimkn utk buka puasa tq enak sukaa agak pedas dikit tq yaa beli 2,5
pengemasan aman pengiriman cepat bandeng tetap fresh,5
barang cepat dan enak,5
response seller baik dan proses delivery cepat pesanan sudah diterima dalam kondisi baik sesuai order,5
overall ikannya enak manis gurih pedasnya pas ketika dibuka sedikit berlendir mungkin karena kepanasan dan kelamaan waktu dikirim pengiriman agak lama 1 minggu karena ada kejadian styrofoam rusak,5
rasanya mantul penjualnya ramah fast respon,5
mantul sesuai pesanan thanks ya gan,5
respon chat packing baik terima kasih,5
zzzzzzzzzzz,5
sesuai deskripsi pelapak super responsif dan profesional,5
beresssss cepat mantap dendeng nya tebal tapi empuk mantaaaaaapppp,5
packing selalu rapi pengiriman juga cepat sdh bbrp kali beli enakkkkkkk terimakasih banyak pak gbu,5
mantap cepat thank u,5
terimakasih banyak enakkkkkkk packing rapi pengiriman cepat sdh beli kesekian kalinya tuhan yesus memberkati amin,5
enak buangettttt sipp deh pokoke,5
dendeng sapi nya sesuai dengan pesanan,5
sangat puas sdh beli ke sekian kalinya packing sangat rapih sampai sangat cepat pokoknya mantul deh terima kasih banyak seller selamat natal tuhan yesus memberkati amin,5
packing sangat rapi pengiriman cepat dan rasa enak,5
sudah langganan enakkkkk packing rapih makasih banyak ya tuhan yesus memberkati sukses selalu,5
expired nya lumayan cepet ya dikasinya juli 2021 semoga belum keburu apek rasanya dan sebelum juli sudah habis soalnya anak kos jadi dikonsumsi sendiri,4
udah di kasih keterangan original dan rumput laut tp yg datang bbq,3
kurang sedap kurang kerasa ikan nya,3
paket keterima dg baiik favorit orgtua enak tdk asin jd teman mkn nasi trmksh kak,5
udah dtg thx y,5
paket keterima dg baiikk sellau pesan d sini krn kesenangan orgtua trmksh ya kak sukses selalu dn tambah byk pelanggan nya,5
paket keterima dg baik pakingan dg kardus rasa tdk asin orgtua sy cocok dn suka sdh 2x order sellernya jg ramah trmksh ya kak sukses selalu,5
enak baru dateng udah dicemil in,5
tidak ada yg buat sy suka barangnya kurang fresh lebih baik beli langsung di resto nya jadi bs liat fresh atau tidak,4
agak terlalu kering ya tempenya kemasan ga ada labelnya bu rudy seperti di gambar,4
kenapa prosesnya lama ya apa tidak ready,1
good product good seller,5
maaf aga keras ya bumbunya krg brasa tks,3
sampenya cepet dan rapi belom dicobain,5
bau amis,2
barang diterima sesuai photo pesanan packing ckp rapi aman cepat nyampe nya jg makasih seller,5
barang sudah diterima tapi belum dimasak,5
enak suka ikannya,5
enak lain kali beli lagi trimakasih gan,5
cocok semuanya thx ya,5
rasanya pas d lidah,5
sesuia dengan pesanan thanks,5
cpt bgt sampe nya gaada 1 jam uda sampesuka bgt salad nyaa,5
mantap enak banget langsung abis,5
enak saladnya creamy kuahnya seller ramah sampainya jg tepat waktu thx alot ya anak sy suka salad nya,5
suuuukkkkaaaaa,5
mantulll sekali selalu langganan beli salad disini,5
akuratt patent service excellence rasa ciamik,5
enak banget nyesel cuma beli satu makasih ya kak sudah bikin salad buah terenak,5
gk sempet foto dah keburu habis,5
mantulll rasanyapromonya sering sering juga ya meski gak promo pun tetep mantul karna seenak itu,5
mantaaaappppp uwenaaakkk,5
pesannya keju spesial yg dikirim coklat keju,4
produk ok lain kali kalau serahkan barang ke kurir jangan terlalu malam karena sampainya ke penerima jadi molor 1 hari,4
alhamdulillah sampai tepat waktu sblm buka puasa mksh kartika sari,5
barang sampe hanya saja pengiriman agak lama rasanya pun ya lumayan lah terimakasih,5
enak neh psg molennya packing rapi thks yah,5
packingnya mantap sih,5
barang sudah diterima sesuai pesanan thanks,5
rasanya enak karena beli langsung dari seller nya,5
pesanan sampai tepat waktu makasih seller dan kurir sicepat,5
favorite istri dikirim buat hampers ramadhan suka semua,5
ya ampunnn enak pake bngettt sambel ny pun enakkkk,5
pengiriman tercepat se asia tenggara terima kasih,5
luar biasa,5
udh bbrp kali beli disini rasa sei nya enak bgt pasti order berkali kali lagi nih,5
langsung di cobain enak mantap sambelnya jos,5
maha dahsyat wagyu memang beda kelas dengan sapi biasa,5
nice perfecto barang d terima dengan sangat baik respon cepat pengiriman cepat pelayanan cepat dan ramah buat agan2 yg lain pokoknya gak usah ragu deh dengan boss yg satu ini dijamin memuaskan terima kasih dan sukses terus bossque,5
tq brg cpt nyampe dan enak,4
lumayan enak namun sayang nggak free ongkir katanya bs next day namun 2 hari setelah pesan baru sampai,4
alhamdulillah sampai tepat waktu sebelum buka puasa,5
puassssssssssssss dikirimnya ke pacarku krn pacarku suka bangettt,5
mantap pisangnya,5
pengemasan bagus hanya saya pesan jumat jd baru dikirim senin karena sabtu libur jd baru sampai selasa malam,5
alhamdulillaah paket sdh datang terima kasih,5
rasanya enak karena beli langsung dari sellernya,5
puas bangettt rasanya enak porsinya bs buat 5 org lebih penampakan bagus kereeen mantul bgtt,5
ldr sm kluarga jd kirim tumpeng buat buka puasa alhamdulillah pd blg makanannya enak dan byk sambelny jg mantep thank you yaaa sukses slalu,5
enak dan tampilan bagus terimakazih,5
enaaak banget rasanya cocok sama taste kita,5
bagus tumpengnya lmyn byk utk porsi 5 org pengiriman jg ontime,5
puas porsi cukup rasa enak seller responsive pengiriman aman thank you,5
enaaaaak bgt n makasih dh bs ambil order dadakan bgt highly recommend,5
tumpeng nya enax bgt next psn lg thx,5
masakan nya enak hiasan nya juga cantik harga juga sesuai gak salah pilih pesan nasi tumpeng di sini makasih ya kak berkah dan lancar trus amin,5
enak rasanya walau porsi kecil pembeli baik respon ramah kurir ramah jg,5
alhamdulillah barangnya sudah sampai tks seller dan tokopedia seller nya korporatif good,5
sesuai pesanan proses cepat terima kasih,5
seller nya fast respon mantap,4
seneng bgt belanja di toko ini sellernya ramah fast respon dan sangat membantu untuk nasi briyani nya enak bgt tidak usah diragukan lagi rekomended pokoknya,5
sesuai pesanan terima kasih,5
produk bagus sesuai harga,4
produk sesuai etalase harga murah tapi sayang mungkin stok lama jadi ada kutunya setelah dimasak rasanya kurang kuat seller responnya bagus dan ramah,4
barang sesuai gambar dan deskripsi mksh,5
terima kasih bnyk kak,5
good pengiriman cepat recomended seller,5
nasi kuningnya cantikenak semuanya,5
mantap dan enak pelayanan juga super cepat dan ramah recommened seller terima kasih,5
enak dan lezattt terima kasih,5
pengalaman belanja online yang berkesan sesuai dengan harapan nasi tumpengnya pas sama selera lauk pauknya juga sama dengan orderan terima kasih atas srvis bintang 5 nya,5
nasi tumpengnya sampai dengan selamat dan cepat semuanya enak banget terima kasih timm catering,5
pelayan cepat dan tepat berasa tidak lagi belanja online deliverynya sesuai dengan jam acara untuk rasa mantap ludes des,5
nasi tumpengnya sudah diterima dengan baik terima kasih,5
nasi tumpeng berkualitas lauknya komplit ayam goreng kuning sambal ati ampla perkedel urap sayur telur balado orek tempe sambalnya paling enakkk pas banget pedesnya,5
penataannya rapih dan menarik garnishnya kreatif ada bunga cabe dan tulisan dari wortel untuk rasa enak wangi dan gurih rasa lauk pauknya juga pas,5
pelayanan cepat dan transparan keselurahan puas terutama dengan nasi kuningnya legit dan wangi lauknya juga komplit sesuai dengan orderan,5
nasi legit ayam gorengnya mantap cabenya pedes sesuai dengan pesanan terima kasih,5
nasi kuningnya mantap sesuai dengan harganya laukpauknya lengkap dan sedap,5
sudah diterima dengan baik terima kasih,5
pengiriman ontime rasa cocok dengan selera terima kasih,5
mantap rasanya porsi sesuai dengan harga terima kasih,5
enak mantap respon ok next klo ada acara bs order recomended,4
nasi tumpengnya diterima dengan baik terima kasih,5
rasa dan kualiatas nya mantap diatas ekpetasi porsinya juga sesuai dengan harganya term kasih,5
penjual respon cepat sesuai deskripsi recomeneddd terima kasih,5
manteb pollnasi kuningnya enak dan pulen banget urapnya juga tahan lama empal dan ayam gorengnya juga manteb sambalnya pedas dan enakresponnya manteb dan deliverynya pas banget sesuai dengan permintaan happy and recommended banget terima kasih blackstone,5
sudah 2 kali pesan di sini benar2 enak deh,5
enak walaupun ukurannya keliatan kecil tp bikin kenyang juga,5
rasanya enak banget semua lauk pauknya enak nasinya pulen dan wangi kalo ada acara keluarga pasti akan pesan lagi disini,5
mantaappp tepat waktu dan rekomended,5
nasi dan lauk enak hanya yang premium pakai urapnya ga kuat sampe sore mgkn bs diberi pilihan sayur lain jika mau yg premium dan perhitungan ongkirnya juga agak krg masuk akal awalnya saya tanya kirim ke sekolahan ongkir 30rb lalu saya tny kiri ke rumah jadi 60rb pdhal rumah saya sebelahan sama sekolah buat masukan aja ke seller,4
tumpeng mini nya enak recommended banget,5
nasi kuningnya cantik n enak lauknya pun mantap,5
nasi nya tidak keras dan lauknya enak2 untungnya order yg premium krn porsinya kurang klo menurut saya tapi overall puas dengan order ini terima kasih,5
porsi pas lauk banyak rasanya sumpah enak aku pake ayam bakar dan rasanya gurih enak bumbu nya berasa banget bakal jd langganan ahh,5
tumpengnya ok dan ada bonus pudingnya tks,5
trima kasih pesanan sampai tujuan dengan baik trima kasih diberikan bonus puding semoga berkah,5
enak banget nasi kuningnya dan lauk2nya lalapannya fresh sellernya ramah order sore bsknya diterima,5
rasa memuaskan harga murah kualitas luar biasa ditambah ada bonus puding,5
tumpeng nya ok utk rasa dan penampilan tp sayangnya janji kirim jam 3 ternyata sampainya jam 4 30 pdhl jam kantor hanya sampai jam 4 penerimanya jd hrs nunggu dulu gak bisa pulang utk makanan spt ini ketepatan waktu sesuai permintaan itu penting jd hrs diperhatikan,4
dengan harga segitu masakannya ajip mantap masih anget pula pokonya ngak ada yg kurang puas bgt ud gitu dpt bonus lg puding khusus di bulan puasa makasih ya tunggu order berikunya,5
suka bgt sama tumpeng mininya trs juga bonus pudingnyaa terimakasih yaa,5
masakannya enak seller baik sayang datangnya ga ontime tapi gapapa masih aman mungkin untuk pengirimannya lebih diperhatikan lagi,5
alhamdulillaah sesuai order pengiriman on time menu mantabz apalagi rasa nya maknyoooss recommended dech,5
pertama kali pesen tumpeng disini puas bgt dtg tepat waktu dan rasanya enak bgt owner juga baik bgt sukses terus yaa,5
barangnya dr seller ok cuman ekspedisi dr free ongkir yaitu anteraja mengecewakan lama kalau pesen hrs jauh2 hari dan tak usah berharap cepat datang seminggu baru nyampe itu estemasinya,5
udah orderan keseratus kayaknya wkkwkw berharap dapat hadiah motor dari sellernya,5
langgananan,5
sering order barang bagus pelayanan cepat,5
cepat sampainya dan isinya oke,5
kamsiya,5
ga ada tulisan exp nya jadi bingung,4
pengiriman lumayan cepet tapi ikannya bnyk yg gosong dan agak kotor ya,4
mantap deh pokoknya beli disini,5
rasa gurih seperti rasa ikan,5
recommended deh pokoknya,5
recommended seller pokoknya makasih ya biar bintang yg bicara,5
rasa enak bgt tekstur masih terlalu keras utk anak usia 1 tahun,5
lumayan rasanya,3
ketagihan enakkk,5
packing cepat aman rapi barang sampai dg selamat kualitas ok,5
sampai rumah basi,1
bandengnya udah adem pantesan berlendir pas dibuka,2
packingan oke praktis udh tinggal masak seller oke,5
cepat sampai packing aman isi sesuai terima kasih,5
makanan seh suka tapi sambelnya teenyata instant sambel terasi merk uleg dari finna dah gitu ekspedisi lama banget biasanya saya belanja pagi sampainya sore di esok harinya,4
sesuai deskripsi belum dicobain tks,5
pengirimanny cepet bgt thanks seller untuk rasanya belum dicoba klo enak pasti beli lagi,5
mantaap rasanyaa,5
pelayanan dan pengiriman slalu cepat terima kasih,5
konsisten,5
cepet banget sampe nya thx udah fast response ya kangen sama makanan satu ini semenjak pindah dr surabaya btw ini minyak nya abis tumpah2 dalam pengiriman sptnya next time di buat lebih rapet lagi packaging nya,5
packing rapi produk original mantabss,5
repeat order tp wrapping gak sebagus pembelian sebelumnya beli 3 yg 1 toplesnya pecah ada bubble wrap tp cuma 1 lapis mungkin bs di tingkatkan packingnya krn hrsnya mau dibawa keluar kota jd ga bs,5
enak bgt bos solusi darurat sahur,5
mantap cepat packing aman,5
pengemasan aman rapi sampai sumatra dtrima dg baik rekomended,5
pengirimannya cpt bgt mantapp,5
respon cepat rasa otaji paling enak ga banyak minyak,5
seperti pesanan2 sebelumnya selalu memuaskan tq,5
paket sudah sampai cepet banget kemasan sangat rapi dan imut karena kotaknya kecil semoga rasanya enak biar bisa pesen lagi sukses buat tokonya ya,5
teri nya agak kurang gurih sedikit,5
enak sekali pada saat pengiriman hampir saja tdk diterima namun tdk begitu lama pengirim datang,5
teri kacang balado udah terima dg baik,4
enak rasanya manis pedas terinya dibanyakin lagi dong,5
